,Unnamed: 0,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech
0,0,john_carins,John Carins,839507779438198785,1121419741791444992,/john_carins/status/1121419741791444992,2019-04-25 14:24:36,1556202276,"The people who really annoy me are those who take honours and titles and then work against the country and its democracy: Sir John Major, (Knight of the Garter) Dame Caroline Spelman, Dame Margaret Beckett, Sir Oliver Letwin.... The ""Royals"" have little influence.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The people who really annoy me are those who take honours and titles and then work against the country and its democracy: Sir John Major, (Knight of the Garter) <strong>Dame</strong> <strong>Caroline Spelman</strong>, <strong>Dame</strong> Margaret Beckett, Sir Oliver Letwin.... The ""Royals"" have little influence.</p>",[],[],False,[],,3,1,0,False,True,1.1214140454987858e+18,"[{'screen_name': 'Lordbrexit', 'user_id': '2772695072'}]",neither
1,1,john_carins,John Carins,839507779438198785,1121419741791444992,/john_carins/status/1121419741791444992,2019-04-25 14:24:36,1556202276,"The people who really annoy me are those who take honours and titles and then work against the country and its democracy: Sir John Major, (Knight of the Garter) Dame Caroline Spelman, Dame Margaret Beckett, Sir Oliver Letwin.... The ""Royals"" have little influence.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The people who really annoy me are those who take honours and titles and then work against the country and its democracy: Sir John Major, (Knight of the Garter) <strong>Dame</strong> <strong>Caroline Spelman</strong>, <strong>Dame</strong> Margaret Beckett, Sir Oliver Letwin.... The ""Royals"" have little influence.</p>",[],[],False,[],,3,1,0,False,True,1.1214140454987858e+18,"[{'screen_name': 'Lordbrexit', 'user_id': '2772695072'}]",neither
2,2,deletedbyMPs,Tweets MPs Delete,1066949670,1151762634099875840,/deletedbyMPs/status/1151762634099875840,2019-07-18 07:56:25,1563436585,DT Dame Caroline Spelman MP: Today in Parliament it was a pleasure to attend the All-Party Parliamentary Corporate Responsibility Group receptioâ¦ https://twitter.com/i/web/status/1151128129261334528Â â¦http://pltwps.it/_7nk9rnrÂ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Dame</strong> <strong>Caroline Spelman</strong> MP: Today in Parliament it was a pleasure to attend the All-Party Parliamentary Corporate Responsibility Group receptioâ¦ <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/i/web/status/1151128129261334528"" dir=""ltr"" href=""https://t.co/4BRP4MeAvw"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/i/web/status/1151128129261334528""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/i/web/status/1</span><span class=""invisible"">151128129261334528</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://pltwps.it/_7nk9rnr"" dir=""ltr"" href=""https://t.co/6usva0f97j"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_7nk9rnr""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_7nk9rnr</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a></p>","['https://twitter.com/i/web/status/1151128129261334528', 'http://pltwps.it/_7nk9rnr']",[],False,[],,0,0,0,False,False,,[],neither
3,3,deletedbyMPs,Tweets MPs Delete,1066949670,1151762634099875840,/deletedbyMPs/status/1151762634099875840,2019-07-18 07:56:25,1563436585,DT Dame Caroline Spelman MP: Today in Parliament it was a pleasure to attend the All-Party Parliamentary Corporate Responsibility Group receptioâ¦ https://twitter.com/i/web/status/1151128129261334528Â â¦http://pltwps.it/_7nk9rnrÂ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Dame</strong> <strong>Caroline Spelman</strong> MP: Today in Parliament it was a pleasure to attend the All-Party Parliamentary Corporate Responsibility Group receptioâ¦ <a class=""twitter-timeline-link"" data-expanded-url=""https://twitter.com/i/web/status/1151128129261334528"" dir=""ltr"" href=""https://t.co/4BRP4MeAvw"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/i/web/status/1151128129261334528""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/i/web/status/1</span><span class=""invisible"">151128129261334528</span><span class=""tco-ellipsis""><span class=""invisible"">Â </span>â¦</span></a><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://pltwps.it/_7nk9rnr"" dir=""ltr"" href=""https://t.co/6usva0f97j"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_7nk9rnr""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_7nk9rnr</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a></p>","['https://twitter.com/i/web/status/1151128129261334528', 'http://pltwps.it/_7nk9rnr']",[],False,[],,0,0,0,False,False,,[],neither
4,4,IsabelleParasra,Isabelle Parasram ð¶,742671341166465025,1143844082969710593,/IsabelleParasra/status/1143844082969710593,2019-06-26 11:30:55,1561548655,"Join me as I chair a panel: #Women #Migration & #Brexit at the House of Lords with Baroness Shas Sheehan, Dame Caroline Spelman, Salma Zulfiqar, Dr Victoria Showunmi, Liz Phillips @UKIP & Professor Vicki Squire. Sold out within days, more tickets released. https://bit.ly/2RD6BRfÂ pic.twitter.com/Icamy0kwz6","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Join me as I chair a panel: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Women?src=hash""><s>#</s><b>Women</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Migration?src=hash""><s>#</s><b>Migration</b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Brexit?src=hash""><s>#</s><b>Brexit</b></a> at the House of Lords with Baroness Shas Sheehan, <strong>Dame</strong> <strong>Caroline Spelman</strong>, Salma Zulfiqar, Dr Victoria Showunmi, Liz Phillips <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""358204197"" dir=""ltr"" href=""/UKIP""><s>@</s><b>UKIP</b></a> &amp; Professor Vicki Squire. Sold out within days, more tickets released. <a class=""twitter-timeline-link"" data-expanded-url=""https://bit.ly/2RD6BRf"" dir=""ltr"" href=""https://t.co/y40yMhFMq2"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2RD6BRf""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2RD6BRf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Icamy0kwz6"">pic.twitter.com/Icamy0kwz6</a></p>",['https://bit.ly/2RD6BRf'],"['Women', 'Migration', 'Brexit']",True,['https://pbs.twimg.com/media/D9-8RJjXoAAusUZ.jpg'],,14,3,0,False,False,,[],neither
5,5,IsabelleParasra,Isabelle Parasram ð¶,742671341166465025,1143844082969710593,/IsabelleParasra/status/1143844082969710593,2019-06-26 11:30:55,1561548655,"Join me as I chair a panel: #Women #Migration & #Brexit at the House of Lords with Baroness Shas Sheehan, Dame Caroline Spelman, Salma Zulfiqar, Dr Victoria Showunmi, Liz Phillips @UKIP & Professor Vicki Squire. Sold out within days, more tickets released. https://bit.ly/2RD6BRfÂ pic.twitter.com/Icamy0kwz6","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Join me as I chair a panel: <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Women?src=hash""><s>#</s><b>Women</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Migration?src=hash""><s>#</s><b>Migration</b></a> &amp; <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Brexit?src=hash""><s>#</s><b>Brexit</b></a> at the House of Lords with Baroness Shas Sheehan, <strong>Dame</strong> <strong>Caroline Spelman</strong>, Salma Zulfiqar, Dr Victoria Showunmi, Liz Phillips <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""358204197"" dir=""ltr"" href=""/UKIP""><s>@</s><b>UKIP</b></a> &amp; Professor Vicki Squire. Sold out within days, more tickets released. <a class=""twitter-timeline-link"" data-expanded-url=""https://bit.ly/2RD6BRf"" dir=""ltr"" href=""https://t.co/y40yMhFMq2"" rel=""nofollow noopener"" target=""_blank"" title=""https://bit.ly/2RD6BRf""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">bit.ly/2RD6BRf</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/Icamy0kwz6"">pic.twitter.com/Icamy0kwz6</a></p>",['https://bit.ly/2RD6BRf'],"['Women', 'Migration', 'Brexit']",True,['https://pbs.twimg.com/media/D9-8RJjXoAAusUZ.jpg'],,14,3,0,False,False,,[],neither
6,6,KateS4TP,Kate_S4TP,1053277425545691136,1146357624465776640,/KateS4TP/status/1146357624465776640,2019-07-03 09:58:50,1562147930,Focus from @ArdenAcademy @S4TP_BigIdeas have designed a shower and control system that saves water& energy. The girls were delighted to meet Dame Caroline Spelman @spelmanc &would love to hear if you have any local contacts who may be able to help them develop their idea. #STEMpic.twitter.com/wVb2JiED8D,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Focus from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""102957876"" dir=""ltr"" href=""/ArdenAcademy""><s>@</s><b>ArdenAcademy</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""226132772"" dir=""ltr"" href=""/S4TP_BigIdeas""><s>@</s><b>S4TP_BigIdeas</b></a> have designed a shower and control system that saves water&amp; energy. The girls were delighted to meet <strong>Dame</strong> <strong>Caroline Spelman</strong> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""453133872"" dir=""ltr"" href=""/spelmanc""><s>@</s><b>spelmanc</b></a> &amp;would love to hear if you have any local contacts who may be able to help them develop their idea. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/STEM?src=hash""><s>#</s><b>STEM</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wVb2JiED8D"">pic.twitter.com/wVb2JiED8D</a></p>",[],['STEMpic'],True,['https://pbs.twimg.com/media/D-iuLKGWsAIo1Z8.jpg'],,10,5,0,False,False,,[],neither
7,7,KateS4TP,Kate_S4TP,1053277425545691136,1146357624465776640,/KateS4TP/status/1146357624465776640,2019-07-03 09:58:50,1562147930,Focus from @ArdenAcademy @S4TP_BigIdeas have designed a shower and control system that saves water& energy. The girls were delighted to meet Dame Caroline Spelman @spelmanc &would love to hear if you have any local contacts who may be able to help them develop their idea. #STEMpic.twitter.com/wVb2JiED8D,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Focus from <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""102957876"" dir=""ltr"" href=""/ArdenAcademy""><s>@</s><b>ArdenAcademy</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""226132772"" dir=""ltr"" href=""/S4TP_BigIdeas""><s>@</s><b>S4TP_BigIdeas</b></a> have designed a shower and control system that saves water&amp; energy. The girls were delighted to meet <strong>Dame</strong> <strong>Caroline Spelman</strong> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""453133872"" dir=""ltr"" href=""/spelmanc""><s>@</s><b>spelmanc</b></a> &amp;would love to hear if you have any local contacts who may be able to help them develop their idea. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/STEM?src=hash""><s>#</s><b>STEM</b></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/wVb2JiED8D"">pic.twitter.com/wVb2JiED8D</a></p>",[],['STEMpic'],True,['https://pbs.twimg.com/media/D-iuLKGWsAIo1Z8.jpg'],,10,5,0,False,False,,[],neither
8,8,deletedbyMPs,Tweets MPs Delete,1066949670,1136216203444326400,/deletedbyMPs/status/1136216203444326400,2019-06-05 10:20:27,1559730027,DT Dame Caroline Spelman MP: RT APCRG: Many congratulations to all at Ei Group plc in Meriden nominated by Dame Caroline Spelman MP as her Meriden Constituency Responsible Busâ¦ http://pltwps.it/_QN26kEMÂ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Dame</strong> <strong>Caroline Spelman</strong> MP: RT APCRG: Many congratulations to all at Ei Group plc in Meriden nominated by <strong>Dame</strong> <strong>Caroline Spelman</strong> MP as her Meriden Constituency Responsible Busâ¦ <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://pltwps.it/_QN26kEM"" dir=""ltr"" href=""https://t.co/CXLjboWw9q"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_QN26kEM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_QN26kEM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a></p>",['http://pltwps.it/_QN26kEM'],[],False,[],,0,0,0,False,False,,[],neither
9,9,deletedbyMPs,Tweets MPs Delete,1066949670,1136216203444326400,/deletedbyMPs/status/1136216203444326400,2019-06-05 10:20:27,1559730027,DT Dame Caroline Spelman MP: RT APCRG: Many congratulations to all at Ei Group plc in Meriden nominated by Dame Caroline Spelman MP as her Meriden Constituency Responsible Busâ¦ http://pltwps.it/_QN26kEMÂ ,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">DT <strong>Dame</strong> <strong>Caroline Spelman</strong> MP: RT APCRG: Many congratulations to all at Ei Group plc in Meriden nominated by <strong>Dame</strong> <strong>Caroline Spelman</strong> MP as her Meriden Constituency Responsible Busâ¦ <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""http://pltwps.it/_QN26kEM"" dir=""ltr"" href=""https://t.co/CXLjboWw9q"" rel=""nofollow noopener"" target=""_blank"" title=""http://pltwps.it/_QN26kEM""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">pltwps.it/_QN26kEM</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible"">Â </span></span></a></p>",['http://pltwps.it/_QN26kEM'],[],False,[],,0,0,0,False,False,,[],neither
